ID,Name,Description,Aliases
"exicon-1757988690608-7220","7220","<p>Using an elevated terrain feature (hill preferred, but stair set or bleachers will work), PAX begin at the bottom and complete 7 Merkins, run to the top of the hill and complete 2 Burpees, then return to the bottom of the hill to complete 20 squats. 7-2-20 reps represents the elevation in feet of F3 Laramie (Wyoming), the highest elevation Region and workout AO's in F3 Nation where the air is thin. Rinse and repeat as many times as the Q desires. Can be done repeatedly for an entire workout, or can be done as a closer to another routine (recommended pairing with the LARAMIE circuit listed elsewhere in the Exicon). Steep hill is preferred to spur heavy breathing to simulate workouts in the thin air of higher elevations with PAX running up the hill and fast mosey back down to reduce the chance of trips/falls.</p>",""
"exicon-1753308718400-abs-are-all-you-need","Abs Are All You Need","The Q plays \"Love is All You Need\" by The Beatles. Hold crunch position (supine with elbows and knees touching) throughout the song. Perform Big Boy Sit Up for every \"Love\" in the song.",""
"exicon-1753308718698-absolution","Absolution","<p>Combination of a Groiner, Mahktar N' Diayes, and Chilly Jack, done on an 8-count cadence. An awesome core and upper body workout that is both the solution to flabby abs, and a reason to beg absolution for your sins. Start in plank position and perform a single Groiner (cadence \"1\" jump feet forward, \"2\" jump feet back), then Mahktar N' Diayes to Chillcut position (cadence \"3\" &amp; \"4\" with drop to each elbow), then Chilly Jack (cadence \"5\" feet out, \"6\" feet together), and finally Mahktar N' Diayes to plank starting position (cadence \"7\" and \"ONE, TWO, etc.\" with rise on each hand). Best done in mulch, dirt or at edge of grass and asphalt/concrete so hands/elbows can be on grass while feet have traction. Also works well in parking lot conveyer belts when PAX are provided with small squares of cardboard left at Absolution station to protect elbows. Smart Q's will introduce this with the cadence, but then instruct PAX to do sets of 15-30 OYO (as the Q will suffer too and should avoid giving the impression of weakness to the PAX, lest he suffer insufferable mumble chatter).</p>",""
"exicon-1777602467675-absolutions-for-my-way","Absolutions for My Way","<p>Done as a Mary, Q will deliver short Moleskin referencing the importance <a href=\"mailto:oddjobsbgky@gmail.com\">of community in the lives of men and the pitfalls of thinking you can do it all on your own. Pax then hold plank while listening to the song “My Way” by Frank Sinatra. Each time there’s a reference to I, me, my, he, man, etc do an </a><span data-type=\"mention\" class=\"mention\" data-id=\"exicon-1753308718698-absolution\" data-label=\"Absolution\" data-mention-suggestion-char=\"@\">@Absolution</span><a href=\"mailto:oddjobsbgky@gmail.com\">. Approx 36-40 reps depending on the version of the song played. </a></p>",""
"exicon-1753308719130-abyss-merkin","Abyss Merkin","<p>Abyss Merkin Perform merkins on two parallel benches, right hand and foot on one bench, and left hand and foot on the other bench, letting your body lower into the space between the benches as far a possible. Works best if done slowly, holding at the lowest point and imagining a bottomless abyss below you.</p><p>May also be performed between two coupons. Pax line up and place coupons on ground then shift 1/2 a position so that pax are in the “window” of two coupons. Each pax places his left hand on the coupon to his left, his right hand on the coupon to his right. Perform merkins into the abyss. The number of coupons should be the number of pax +1 to allow each pax the opportunity stare into the unblinking abyss. </p>",""
"exicon-1761944070751-acey-doucey","Acey Doucey","<p>Acey Doucey: A routine that starts with a single round of an exercise like a ladder or 1:4 routine, then at the next location, two reps of something, then four reps... By this point, you are calling out single-rep or 2x1 exercises. The reps keep doubling each round 8...16...32...64...128...256...etc. At any point, head back down the other side.</p>",""
"exicon-1753308719342-agassis","Agassis","<p>Agassis Tennis court suicide drills. (Agassi has had many comebacks, aye.)</p>",""
"exicon-1753308719774-aiken-legs","Aiken Legs","<p>Aiken Legs Done in succession with no rest -- 20 Squats, 20 Box Jumps, 20 Lunges (10 each leg), 20 Split Jacks (10 each leg forward). Rinse and Repeated as many times as you can.</p>",""
"exicon-1753308719985-air-drama","Air Drama","<p>Air Drama A continuation of the Johnny Drama, adding an Air (Bodyweight) Squat. Begin from a standing position, move hips back and lower the torso to \"sit\" as deeply as possible while maintaining an upright position, upon returning to a full standing position, execute a calf raise. Can also be done as a negative calf raise by standing on a stair or curb.</p>",""
"exicon-1753308720212-air-squared","Air Squared","<p>Air Squared Air chair (People''s Chair without the wall) combined with air claps in cadence.</p>",""
"exicon-1762826030071-airport-security","Airport Security","<p>Set the coupon upright to the side of one foot.</p><p>1) Bend to the side to pick up</p><p>2) Almost put it down</p><p>3 ) Back to straight</p><p>4 ) Put it back down</p><p>Do a full IC count, then flapjack on the other side.</p><p></p><p>Alternate: With one or two coupons, swaying back and forth like the piano timekeeper, the metronome.</p>","[object Object]; [object Object]"
"exicon-1753308720423-al-gore","Al Gore","<p>Al Gore Pretend to hug a tree from the squat position. Hold until the Q says to stop. Sometimes used to wait for all PAX to complete another exercise instead of planking.</p>",""
"exicon-1753308720636-alabama-ass-kickers","Alabama Ass-Kickers","<p>Alabama Ass-Kickers aka Ass-kickers. Down on all fours, kick each leg individually up and back. 4-count on each leg - 1 up, 2 extend, 3 back to up position, 4 down.</p>",""
"exicon-1753308720848-alarm","ALARM","<p>ALARM A-L-A-R-M (Similar to B.O.M.B.S. except these stand for Arm, Leg, Abs, ''R'' Exercise, ''M'' Exercise): An exercise group of movements performed in successive fashion without rest; generally these are performed in multiples (e.g. ALARM 1 = Shoulder Press, Lunge, LBC, Run, Merkin; ALARM 2 = Shoulder Taps, Squat Jumps, Peter Parkers, Ranger Merkins, Makhtar N''Diayes, ALARM 3 = Burpees, Jump Squat, Mountain Climbers, Rockette Hillbillies, Pattycake Merkins)</p>",""
"exicon-1771602262463-alarm-clock","Alarm Clock","<p>This is like a reverse burpee and can be used for those who can't complete a normal burpee. Start from a standing position, then bend down in squat, lay back on your six, then crunch back up, and get to a standing position again with a jump</p>",""
"exicon-1753308721376-albatross-wings","ALBATROSS WINGS","<p>ALBATROSS WINGS Start with 20 x Forward Arm Circles, hold, 20 x Backwards Arm Circles, hold, 20 x seal claps, hold, 20 x overhead claps. Everything is on a 4-count. Bat Wings w/the following added: Moroccan Night Club, Cherry Pickers, Mike Tyson''s, Chinooks, Front Raises, Overhead Press, Albatross (flapping wings), and finish with 45 degree angle hold.</p>",""
"exicon-1753308721587-all-about-the-benjamins","All About The Benjamins","<p>All About The Benjamins Similar to 11''s, however each part equals 100, that''s why \"the Benjamins\". This is OYO and the Q can use the exercises of choice, but the suggested exercises are with a coupon, 25 Curls for the Girls, 25 Walking Lunges, 25 Squats, 25 Walking Lunges back to your coupon, 25 Overhead Press, 25 Walking Lunges, 25 Mountain Climbers, 25 Walking Lunges back. Depending on the mood of the Q, he could make the PAX lunge walk with their coupon or not, but at the end that''s 100 reps on the exercises, and 100 lunges.</p>",""
"exicon-1753308721798-alligator-merkin","Alligator Merkin","<p>Alligator Merkin Walking Merkin. Alternate stepping hands forward on successive @Merkin reps. You know...like an alligator walks, but with merkins.</p>",""
"exicon-1753308722011-alphabet-(or-abcs)","Alphabet (or ABCs)","<p>Alphabet (or ABCs) On your 6 - feet elevated like 6-inch hold - spell out the alphabet with your feet. All capital letters preferred.</p>",""
"exicon-1769444040217-alpine-mountain-climbers","Alpine Mountain Climbers","<p>A slower variation of <span data-type=\"mention\" class=\"mention\" data-id=\"exicon-1753308825481-mountain-climbers\" data-label=\"Mountain Climbers\" data-mention-suggestion-char=\"@\">@Mountain Climbers</span> where, from a high plank, the foot steps farther forward and wider than a standard climber, planting flat beside the same-side hand to open the hips before returning to plank and alternating sides under control.</p>",""
"exicon-1753308722224-alternating-shoulder-taps","Alternating Shoulder Taps","<p>From the Merkin position, alternate touching your left hand to right shoulder and right hand to left shoulder. IC or OYO.</p>",""
"exicon-1753308722434-alternating-side-squats","Alternating Side Squats","<p>Alternating Side Squats Start with feet together. Step one leg out to the side and do a squat, returning legs together at the top. Repeat on other side. Usually done in slow cadence so 1 rep is a squat on each side.</p>",""
"exicon-1753308722724-american-hammer","American Hammer","<p>A more appropriate name for the former Russian Twist. Rocky did beat the Russian in the movie. Sounds tougher too... While on six in partial sit up position with heals just off the ground, twist at the waist so that both hands held together almost touch the ground beside your waist, alternating in cadence from side to side. Often done with a coupon in hand. AKA Zelensky Twist or Russian Twist.</p><p></p>","[object Object]; [object Object]"
"exicon-1761835942518-amish-wobble","Amish Wobble","A LT. Dan with a Cindy immediately followed by a blockee",""
"exicon-1753308723235-angle-grinder","Angle Grinder","<p>Angle Grinder Starting in plank position angle your body up (pike position) while touching your hand to the opposite knee perform a merkin then touch the other knee and perform another merkin. This exercise is performed 8 count. 1. Touch knee 2. Return to plank 3. Down Merkin 4. Up Merkin 5. Touch opposite knee 6. Return To Plank 7. Down Merkin 8. Up Merkin</p>",""
"exicon-1753308723447-animal-style-squats","Animal Style Squats","<p>This exercise instructs pax to get in the \"throw-up position\" (hands on knees), do a squat in that position, perform a burpee from there, then get back to throw up position to count for one squat. Q makes the call on time or repetitions.</p>",""
"exicon-1757988712616-another-level-legs","Another Level Legs","To the song \"Another Level\" by Oh The Larceny - perform Squat Jacks while the song plays (It's an air squat, but each time you come up you jump your feet out wider (like a jumping jack), then returning to your original narrow squat stance to squat again. Can be reversed so that you start in a wide stance, squat, jump to a narrow stance, jump out wide, squat, repeat) until you hear the word \"level\" and complete a Bonnie Blair. Increase number of Bonnie Blairs for jelly legs in 3 minutes. The guys of Aggieland love this, but hate Cobbler. ",""
"exicon-1753308723745-apollo-creed-burpee","Apollo Creed Burpee","<p>Remember the scene from Rocky 3 with Apollo and Rocky doing one-armed push-ups? That''s right, a one-armed Burpee!</p>",""
"exicon-1753308723952-apolo-anton-oh-no!","Apolo Anton Oh No!","Apolo Anton Oh No! A speed skater movement (full leg kick behind is encouraged), holding a rock and moving it side to side, done in cadence.",""
"exicon-1763531399622-apolo-ohno","Apolo Ohno","Apolo OhNo Speed Skater-style side hops","[object Object]"
"exicon-1753308724368-apple-turnover","Apple Turnover","<p>Apple Turnover Best done on a parking lot or a set of cones evenly placed in a row. PAX would do a bear crawl for a certain length, 3 Lines in a parking lot or to the first cone. PAX would then flip to the crab walk for a designated length, 3 more lines or to the 2nd cone, Back to the bear crawl for a distance, flip crab walk for a distance etc... Length is determined by the lines in the parking lot or how many cones the Q has. Great for slowing PAX down that likes to run. Q can make it a Hot Apple Turnover by adding Crawl Bear to the mix.</p>",""
"exicon-1772345040202-around-the-world","Around the World","<p>Grab the coupon by the middle cross-section, then rotate the block around your head.</p>","[object Object]; [object Object]"
"exicon-1753308724909-ascending-curb-crawl","Ascending Curb Crawl","<p>Ascending Curb Crawl Locate PAX on quite curbed street. Starting position Bear Crawl facing opposite curb. BC to other side, turn &amp; place feet on curb to complete one Derkin, crawl back and complete two Derkins, continue to 13. Jack Webb''s promiscuous cousin.</p>",""
"exicon-1753308725124-ascending-testicles","Ascending Testicles","<p>Ascending Testicles Cousin of Balls to the Wall. Start with feet on wall in 15 degree descending Merkin (Derkin) position. Do 10 Derkins then walk feet up wall to 45 degree Derkin position. 10 more Derkins then walk feet up wall to full Balls to the Wall pose. Can add 10 more Derkins here if you''re tough enough. Or hold in BTTW pose.</p>",""
"exicon-1753308725342-atms","ATMs","<p>All done in order, with no rest, without leaving plank position. Can be scaled using higher reps. 15 Alternating Shoulder Touches In Cadence (4-count), 10 Tempo Merkins (down on the 1-2-3, up on 4), 10 fast Merkins. That's 1 complete round.</p>",""
"exicon-1766556821907-aura-farmer","Aura Farmer","<p>Stand feet shoulder-width, firmly planted. Keep legs and hips stable. Rotate the torso left, raising both arms overhead into a defiant Y (“bring it on” pose). Rotate the torso right, lowering the arms and then sweeping them back into a right-facing Y. Alternate sides with controlled, deep breaths. Named after the kids who stand on the bow of canoes in Indonesia’s Pacu Jalur boat races, projecting energy and presence to motivate their paddlers — the original aura farmers.</p>","[object Object]"
"exicon-1753308725561-aussie-burpees","Aussie Burpees","<p>A groiner with a small hop. Popularized by the very-soon-to-be-eclipsed May 8, 2018 Guiness World Record holder for the most burpees done in 60 minutes by a female. \"According to the folks at Guinness World Records, the start position is with hands and feet on the ground in a plank; all Elizabeth Llorente, 37, had to do when she got to the jump position was remove her hands and feet from the ground. So the personal trainer gives a little froglike hop rather than standing up and doing a full jump with arms to the sky; she also skips the pushup element.\" Can be substituted for 10 counts or stargazers when PAX could use a breather</p>",""
"exicon-1753308725770-austin-ass-kickers","Austin Ass-kickers","<p>Austin Ass-kickers Same as Alabama Ass Kicker with one exception: if your left leg is extended also extend your right arm (and if your right leg is extended also extend your left arm).</p>",""
"exicon-1753308725977-australian-mountain-climber","Australian Mountain Climber","<p>Get into the Balls to the Wall position and do a mountain climber, typically in cadence. Aka Aussie Mountain Climber</p>",""
"exicon-1780505851591-australian-shoulder-taps","Australian Shoulder Taps","<p>Get into the Balls to the Wall position and do Shoulder Taps, typically in cadence.</p>","[object Object]"
"exicon-1753308726233-australian-snow-angels","Australian Snow Angels","<p>Begin in the prone position like Superman. With arms and legs extended as far and as high as possible begin \"Snow Angel\" making motion in a 4 count cadence. A real crowd pleaser, especially in the rain.</p>",""
"exicon-1753308726649-b.o.m.b.s.","B.O.M.B.S.","<p>Similar to Dora 1-2-3 but more exercises. Partner up. Pax 1 does exercise while Pax 2 runs to the other end of the (insert your destination). Swap out and continue the exercise until each amount of reps are complete. The exercises and reps are: 50- Burpees / 100- Overhead Claps / 150- Merkins / 200- Big Boy Sit-ups / 250- Squats.</p>",""
"exicon-1753308726859-baba-o'riley","Baba O'Riley","<p>Baba O''Riley Five minutes of Imperial Walkers set to the perfect five minute song, Baba O''Reilly by The Who. Increasing tempo for the final 30 seconds.</p>",""
"exicon-1753308727074-back-plank-(aka-knalp)","Back Plank (aka Knalp)","Back Plank (aka Knalp) Same as plank except facing upwards with arms behind the body and on heels. (Knalp = plank spelled backwards)",""
"exicon-1781102333456-back-scratchers","Back Scratchers","<p>Exercise done in traditional 4 count cadence as a warm-up stretch (COP).  While standing, <strong>(1)</strong> start with your arms at your side, palms facing forward.  Then, <strong>(2)</strong> simultaneously reach your right arm up to the sky and bend the elbow to drop the right hand down your center back in between your shoulder blades, while your left arm rotates, elbow bends and you sweep your left hand up the center of your spine towards the right hand.  Finally, <strong>(3)</strong> return to the starting position.    If you can touch fingertips, great, otherwise, focus on incremental gains with each rep.  Exercise was conceived by <strong>Daisy of F3 The Frontier</strong> during a 2ndF Thirsty Thursday event, and is based on upper body portion of a yoga move (Cow Face Pose)  </p>","[object Object]"
"exicon-1780505937953-back-strokes","Back Stroke","<p>Wall sit, then alternate slapping/backhanding the wall behind you. When your left hand goes high, your right hand goes low, and vice versa. Keep your core engaged and control every rep.</p>","[object Object]"
"exicon-1761331653932-back-widow","Back Widow","<p>Back Widows strengthen the upper back. Lie flat on your back with knees bent and feet on the ground. Place elbows on the ground close to your sides. Drive your elbows and upper arms into the ground to lift your upper back and shoulders off the floor. Squeeze your shoulder blades together at the top, then lower slowly to the starting position.</p>",""
"exicon-1753308727391-ballerinas---toe-squats","Ballerinas - Toe Squats","<p>Ballerinas - Toe Squats In parallel, raise heels off the floor then slowly squat as low as you can (stop before any knee discomfort). With control, straighten the legs all the way back up to standing while balancing on the toes. Can be completed with arms straight out for balance or with hands clasped behind head. Best performed either in a slow cadence or OYO.</p>",""
"exicon-1753308727605-balls-to-the-wall","Balls to the Wall","Balls to the Wall Aka BTTW. Standing upside down on your hands with your feet above your head facing any type of structure that will support your body. As close to the wall as you can as the name implies.","[object Object]"
"exicon-1764201582716-balls-to-the-wall-crawl","Balls to the Wall Crawl","Balls to the Wall Crawl Like Balls to the Wall, where you are standing upside down on your hands with your feet above your head, facing any type of structure that will support your body. But also walking on your hands around the building.","[object Object]"
"exicon-1753308727817-baryshnikov-squats","Baryshnikov Squats","<p>Baryshnikov Squats Legs rotated out to the sides, hips opened, heels raised, then squat.</p>",""
"exicon-1753308728029-bat-wings-(aka-the-martina-special)","Bat Wings (aka the Martina Special)","<p>Bat Wings (aka the Martina Special) Progression of arm exercises that are deceivingly difficult and named after Austin's bats. Start with 20 x Forward Arm Circles, hold, 20 x Backwards Arm Circles, hold, 20 x seal claps, hold, 20 x overhead claps. Everything is on a 4-count. Remember to enjoy the pain on the faces of your fellow men.</p>","[object Object]"
"exicon-1753308728240-bataan-death-crawl","Bataan Death Crawl","<p>A combination of Catch Me If You Can and a traditional Bear Crawl. The last person drops and does 5 Burpees, while the rest of the Pax Bear Crawl in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees, until the Q calls it or a certain distance has been reached.</p>",""
"exicon-1753308728533-bataan-death-march","Bataan Death March","<p>AKA: Burpee Catch Me If You Can Indian Run...A combination of Catch Me If You Can and a traditional Indian Run. The last person drops and does 5 Burpees, while the rest of the Pax mosey in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees or until the Q calls it.</p>",""
"exicon-1753308728746-bay-city-scissors","Bay City Scissors","<p>Alternating scissor kicks done in an 8-count. On your back start with your legs at a 45-degree angle. Alternate legs for a vertical 4-count scissor; 1-right leg up/ left leg down, 2-left leg up/ right leg down, 3-right leg up/ left leg down, 4-left leg up/ right leg down. Counts 5-8 are parallel to the ground; 5- right leg over left leg, 6- left over right, 7-right over left, 8-left over right. That''s ONE. A real crowd pleaser at the end of your AB workout.</p>",""
"exicon-1753308728961-beach-bunnies","Beach Bunnies","Murder Bunnies performed in the sand (ie - a volleyball court, playground area, beach, etc)",""
"exicon-1753308729266-bear-brawl","Bear Brawl","<p>Bear Brawl Like a Football sled during two-a-days, Pax 1 assumes the Bear Crawl position while Pax 2 provides resistance to Pax 1''s shoulders and resists their forward progress for a pre-determined distance. Then FlapJack. Another advantage of this exercise is that P2 can provide encouragement/motivation into P1's ear directly. MumbleChatter rises as resistance increases reciprocally. As developed in F3 Nolensville.</p>",""
"exicon-1763413467600-bear-crawl","Bear Crawl","<p>A bear crawl is a full-body exercise where you move on all fours with your hands and feet on the ground, keeping your knees slightly off the floor and your back relatively flat. You crawl forward by moving opposite hand and foot together, maintaining a stable core throughout the movement. It's commonly used in fitness training to build strength, coordination, and endurance.</p>",""
"exicon-1753308729477-bear-crawl-1-2-3","Bear Crawl 1-2-3","<p>Bear Crawl 1-2-3 Dora''s obnoxious neighbor who throws wild parties all night long. Partner up, perform 100 Merkins, 200 LBCs, and 300 Squats as a team. While Partner 1 is doing the 1-2-3, Partner 2 Bear Crawls across a defined space (parking lot works great), and Crawl Bear back, then flip flop until all Merkins, LBCs, and Squats are complete.</p>",""
"exicon-1753308729900-bear-crawl-burpees","Bear Crawl Burpees","<p>PAX start in upright position arms raised (Grizzly bear rarwr) drop in to burpee, at the top of the push up start bear crawling. Everytime you hear Grizzly, you hop back up, drop back down, push up and crawl again.</p>",""
"exicon-1753308730112-bear-crawl-inch-worm","Bear Crawl Inchworm","<p>Bear Crawl Inch Worm PAX lines up head to to feet in plank position. The man in the back of the line bear crawls to front of the line and yells front and next man does the same thing until whole PAX has done it.</p>",""
"exicon-1753308730326-bear-crawl-merkin","Bear Crawl Merkin","<p>Bear Crawl Merkin 4ct exercise. Start in bear crawl. 3 count crawl with the 4th being the merkin. Hands should be staggered during merkin and if done correctly will result in each hand being staggered forward on opposing reps.</p>",""
"exicon-1753308730534-bear-crawl-ring-of-fire","Bear Crawl Ring of Fire","<p>Bear Crawl Ring of Fire Combines exercises we have all come to love/hate. Circle up around shovel flag. Begin by bear crawling around in circle until Q says stop. Upon stopping, first Pax completes 10 merkins while other Pax plank, then next pax in line completes 10 merkins while other pax plank. Keep going around until all pax have completed the 10 merkins. The suck factor greatly increases the more pax you have (longer planks). Do as many rounds as time permits, or really until Q is smoked. Best when combined with a mucho chesto variation. 5 rounds of bear crawls in circle formation, 10x each of merkins, diamond merkins, werkins, stagger left merkin, and stagger right merkins. (ie Round 1 bear crawl in circle, Q halt, first pax does 10 merkins, pax plank until all pax have completed 10 merkins....begin bear crawling again for Round 2, Q halt, first pax does 10 diamond merkins, pax plank until all pax have com pleted 10 diamond merkins....etc.)</p>",""
"exicon-1753308730749-bear-crawl-snake","Bear Crawl Snake","<p>Bear Crawl Snake Similar to Bear Crawl Inch Worm, but adds a weave. PAX line up head to feet in plank position. The man at the back of the line, bear crawls to front of the line, weaving in and out of planking PAX and yells when at front. Next man does the same thing until all PAX have completed. Repeato as necessary.</p>",""
"exicon-1753399744608-bear-hold","Bear Hold","<p>Bear Hold What happens when you combine a plank and bear crawl.... you get the Bear Hold. Its is the bear crawl position, but don''t move. 4 points of contact, hands and toes. Knees should be slightly off the ground.</p>",""
"exicon-1766599005628-bear-with-me","Bear With Me","<p>Starting in a bear plank or tabletop position, lift one arm and twist to kick your opposite leg out and through to the side.</p><p>This can be done for reps or time</p>",""
"exicon-1753308731262-bearmuda-triangle","Bearmuda Triangle","<p>3 markers ~30yds apart in shape of a triangle. Pax performs one burpee at first marker and bear crawls to 2nd marker, 2 burpees and bear crawl to 3rd marker, 3 burpees and bear crawl back to 1st marker. Rinse and Repeat x 3. Named Bearmuda Triangle as it has been known to mysteriously lose some pax along the way.</p>",""
"exicon-1753308731477-bearpees","Bearpees","<p>The Bearpees are long lost cousins to the Burpeedans and suck equally. Line up across a field or parking lot. OYO 1 Burpee followed up by 4 count bearcrawl forward. Once PAX get to other side, rinse and repeat adding another Burpee, keeping the 1:4 ratio but only increasing the number of Burpees. This is best achieved when going past 4!</p>",""
"exicon-1753308731689-bears-&-blocks","Bears & Blocks","<p>Bears &amp; Blocks Get on all fours (like you are doing a bear crawl) with your Cinder Block on the grass between your knees or feet. Reach between your legs and pull the Block across the grass past your head. Now, bear crawl forward until the Block is between your feet again, and keep repeating across the length of the field.</p>",""
"exicon-1753308731896-bearway-to-heaven","Bearway to Heaven","<p>A Bear Crawl suicide of seven increasing lengths with decreasing burpees at the end of each length. Ideally the lengths and number of burpees should be such that the entire exercise takes the full 8:01 time of \"Stairway to Heaven\".</p>",""
"exicon-1772134644732-beat-the-clock","Beat The Clock","<p>Beat The Clock is a Merkin (pushup) style exercise. You do regular merkins around the \"clock.\" There are 12 sets, but the amount of reps decrease after each set is completed for a total of 78 reps. You start at the top of the clock (12:00), and do 12 reps, then move to the left to 11:00, and do 11 reps, and so forth and so forth until you reach 1:00 and complete the circle of the clock. Your feet stay in the middle as your arms move to the left after each set is complete.</p>",""
"exicon-1753308732111-beep-test/highlander","Beep Test/Highlander","<p>Beep Test/Highlander PAX run continuously between two points that are 20 meters apart from side to side. The runs are synchronized with a smart phone application that played beeps at set intervals. At the sound of a beep, the PAX run 20 meters before then next beep sounds As the test proceeds, the interval between each successive beep decreases, forcing the PAX to increase their speed over the course of the test, until it is impossible to keep in sync with the recording. Should the Pax fail to make the 20 meter distance prior to the sounding of the Beep, then the PAX are eliminated from the test. Any eliminated PAX do exercises previously designated by the ''Q'' until only 1 PAX remains doing the Bleep Test.</p>",""
