Name,Description
Failure to Launch,"Hold Al Gore while Q counts down from 10. At Lift-Off, explode up into a tuck jump, immediately returning to Al Gore upon landing. Repeat until unable to leave the ground (usually around rep 8 or 9, depending on count speed)"
Fairy Jack,"Very quick Side Straddle Hop, where your feet only hit the ground in the middle. Usually done OYO."
Febreze,"On your six, do 2 Big Boy Situps. Remain upright after last BB and lift feet up 6"". Do 10 Air Presses. Back down for 4 BB followed by 20 Air Presses with legs held 6"". Repeat using increments of 2:10 ratio. (2:10, 4:20, 6:30, 8:40, 10:50, etc…) (Called ""The Febreze"" because PAX named Febreze always increases the difficulty of a workout and he was the one who decided to hold his feet up 6"" during the Air Presses.)"
Finkle Swings,"Meet the Finkle Swing, named for the infamous kicker “Ray Finkle” it is said that this was the stretch that lost him the big game. Pax swings one leg at a time back and forth to warm up those hips."
Flying sun gods sobriety style (AKA Nancy Kerrigans),"Flying sun gods sobriety style (AKA Nancy Kerrigans). Lean torso forward, raise one leg out to the back, reach arms out to side and do small arm circles. Count in cadence just like sun gods. Forward on one leg, then switch legs and reverse."
Get Low,"Performed to the song Get Low by DJ Snake, hold the people's chair while the song says Get Low over and over again. When the Beat Drops do squats up and down in Cadence with the beat. The song will repeat and you can either repeat this or you can drop to a low plank. Hold the low point of a merkin while the song says Get Low for what seems like a ridiculously Long Time. When the Beat Drops do merkins, if you can. Good warm up to a ridiculous song"
Goofball,A standing mountain climber (running in place) while you alternate your arms up and down (like climbing a ladder). Do it in cadence x 20. Call it goofball b/c you look exactly like one when doing this. Good exercise for the warmup.
Grady Corn,"In memory of Grady Pitstick, aka ""Quikrete"", who passed away a year ago.  He was only 30 years old, and the son of another member of the Knoxville PAX, Brian Pitstick, aka ""Sparkler"".   ""Grady Corn"" is a a combination of Grady's name and ""Candy Corn"", which was an exercise Grady brought to us that became his trademark.  It is a shoulder warm up that can become a full-on exercise with enough reps.  Here is its description: Four-count exercise that  begins in a standing position with your arms together, straight out in front of you.  Swing your arms back to a ""T"" formation, then over your head to form a triangle, then back down to a ""T"", and then back to the starting position.  25 reps makes for a good shoulder warm up.  At 50 reps the mumblechatter starts to dwindle.  Groans of pain begin at about rep 75,  which should be taken by the Q as encouragement to keep going to 100."
Hairy Rockettes,"Often called the alternating toe touch, PAX will start by standing with feet at shoulder width with arms extended out to sides. With a four count cadence, exercise will start by bringing right foot up to left hand for count 1 with leg kept as straight as possible. Return right foot to ground for count 2, followed by left foot to right hand for count 3. Return left foot to ground to complete count."
Happy Jacks,"Do 5 side straddle hops in cadence then after the 5th one everyone does two jump squats. Like this… Side Straddle Hops IC: One, two, three, ONE! One, two, three, TWO! One, two, three, THREE! One, two, three, FOUR! One, two, three, FIVE! Quickly followed by two jump squats. Repeat 4x or until no one can breathe."
Hillbillies (or Hillbilly Walkers),Similar to Imperial Walkers but knee comes up to elbow on same side of body as side that knee is raised.
Hillbilly Squats,"Both hands behind your head, elbows out. Legs/feet set as in a sumo-squat ready position (feet slightly wider apart and pointed more outward than a normal LSS ready position). Initiate movement with a deep sumo squat, then transition to a hillbilly walker – after you thrust up you lift one knee up and side crunch the same side elbow down to where they both almost or lightly touch. Then place foot back down and straighten up from the side crunch. That's one rep. Repeat, alternating L-R sides as you go.  Could be called Sumo Hillbilly as well."
Imperial Stormkickers,Starts the same with arms behind the head. Bring the knees up and then extend for a front kick and back down. Then the other leg for a predetermined rep count. Basic front kick to be instructed but nothing too technical.
Imperial Walker,"Standing, hands on head as if you're doing a sit-up. Lift your knee to the opposite arm's elbow. Flapjack."
Jacked Up,"A series of different types of jumping jack exercises performed with a descending count in cadence. A typical Jacked Up would go as follows: SSH x 50 IC Seal Jacks x 40 IC Plank Jacks x 30 IC Crossover Squat Jacks (aka Deny Terio) x 20 IC Smurf Jacks x 10 IC Alternatively, the Q can keep the count all the same."
Joe Louis,4 count exercise starting from a boxers stance (dominant hand side foot leading: right-handers lead with right foot) Count 1: Punch with the dominant hand Count 2: Punch with the non-dominant hand Count 3: Duck down to just above the waist level as if avoiding a punch Count 4: Recover to the boxer stance
Ladder Jacks,"Two jacks each of side straddle hpop, seal jack, smurf jack, plank jack, and bow jack. Down and back up is one rep."
Manatee,"While in the default Superman position, with left hand twist left and back to grab right foot, return to default, then take right hand and twist right and back to grab left foot. Bend at the knee as needed. A nice stretch on that lower back while working your core. If you were in the water you'd probably look as pretty as a Manatee, sometimes referred to as The Sea Cow."
Matt Biondi,"Standing, legs shoulder width apart, arms down. Rotate arms in opposite directions (arms straight) so that they are synced to be by your side and above your head in rotation. Popular shoulder warm up for swimmers, thus Matt Biondi ( famous US Olympic swimmer)."
Mountain Man Poopers,"This legendary exercise created deep in the wilderness of the Smoky Mountains resembles the aftermath of eating a helping of Grandma's squirrel gravy. This is a 4 Count Exercise often performed during warm-up. Step 1: From a standing position, bend over to touch toes. Step 2: Squat low, put arms straight out front. Step 3: Back to touching toes position from Step 1. Step 4: Stand Up with a single clap. Repeat until effects of squirrel gravy have subsided."
Red Bull Smurf Jack,"Same as the standard smurf jack, except high-tempo cadence at 2 or 3 times the speed of a normal cadence. Always done in cadence, no less than 20. 20 is challenging, 30 will take your breath away, and 40 would be a very high level of achievement. Heart rate spikes, so be mindful of what the PAX can handle."
Rockette Hillbillies,"As in Hillbillies, bring a knee up to elbow on same side of body (e.g. left knee to left elbow), set the foot down, then follow it by a high kick with the same leg. Repeat with the next leg."
Sandstorm,"Just as the gamecock defense gets excited on 3rd down, pax jump continuously with arms overhead for 1 minute."
Seal Jacks,Side-straddle hop but with arms in front instead of overhead.
Side-straddle Hop Burpees,"Perform 5 Side-Straddle Hops in cadence, then drop and do 2 Burpees. Once you are finished with Burpees, continue Side-Straddle Hops in cadence. Normally done in F3 Columbia in sets of 25."
Side-straddle Hop Jumps,"This is a side straddle hop beginning in a squat with a jump all in one motion. best done in cadence. Start in Chair position with your hands by your side. One is a jump to split legs with hands and arms up (like the top of the side straddle hop but you are in the air). Two is the landing, back to where you started with a legs together squat (chair position), three is another jump, four is another squat. If you can get to 15 IC then you're killin it."
Side-straddle Hops,What your kids call a Jumping Jack.
Side-straddle Squats,This is a side straddle hop while in chair position. Begin in Chair position (a squat with your legs together) and arms to your side. Jump to the squat position with your legs apart and raise your hands up like a side straddle hop while in a squat.
Smurf Jacks,Side straddle hop performed in the squat position. Can be done in cadence or OYO.
Sprinkler,"Extend arms straight out in front of the body. Twist arms to one side of the body while raising and twisting the knee and hip the opposite direction. Can be done IC or OYO. Repeat both sides until the Q halts. Like a pretzel, twisting, sprinkler head thingy. Good back and hip stretch. Sound effects optional."
Star Jack,"Combination of Side Straddle Hop and Squat Jump usually done OYO. From balled up squat position jump up and spread your arms and legs into an X or ""star"" then return to balled up squat position."
Step into the Circle,"Performed to the song Move by Thousand Foot Krutch, Pax plank up in a circle. Every time the song says move take one plank walk to the left then to the right the next time it says move. Whenever it says Circle the Pax spin in a circle. The progression goes: plank walk right one step, spin in a circle, plank walk left one step. For all the studs out there you can do merkins or plank jacks waiting on the verses, but for most 3 + minutes of plank-walking and spinning in circles is plenty. Great warm-up and will get the sweat dripping and the shoulders burning to start off the workout."
Steve Earle,"Starting position is standing w/hands behind your head. In four-count cadence, perform Copperhead Squat with a Hillbilly thrown in on the 4th count of the cadence."
Sun Gods,"This exercise is perhaps common among F3 nation, but is deserving of an actual description other than shoulder rolls. Sun Gods is the rotating of shoulders through act of moving outstretched arms (with purpose and intensity) forward or backward in circular motion – Options for little Sun Gods and/or Big Sun Gods for desired effect. **Highly recommended with bricks."
Tappy-taps,"Similar to daisy pickers- in standing position, legs spread past shoulders, bend at waist slowly and tap the ground in three spots stretching as far as you can behind body. Done in cadence to the words Tap-py-tap"
Tennessee Rocking Chair,"1) Bending only at the waist, touch toes. 2) Bending only at the knees, drop to a squat position. This should rotate your torso back to vertical and arms horizontal. 3) Straighten the knees, returning to toe-touch position. 4) Return to starting position"
The Chinook,Overhead arm circles.
The Elwood,Like High Knees or Chopping feet but keep your arms in sync and symmetrical with your feet.  Right hand and right knee are up while the left hand and left knee are Down and vice versa. Pax can settle into a steady driving quarter note 4/4 rhythm on this.  It’s a great way to bring in the 6 while keeping heart rates elevated.
Tie Fighters,Baby Arm Circles in a lunge position.  Forward BACs with right leg forward.  Backward BACs with left leg forward to balance the Force.
Turn and Bounce,"Feet slightly wider than shoulders, arms extended palms up, twist at torso to the left and bounce* with torso twisted, back to center for the 4 count, this is ONE. Flap-jack and twist torso to the right bounce 1,2,3, then back to center for the 4 count this is TWO. See section 8A- http://www.artofmanliness.com/2015/01/12/wwii-workout-week-conditioning-exercises/"
Up Straddle Hop,One Legged SSH. Switch legs and continue after reaching number set by Q.
Water Wheel,"Done in SLOW cadence. Stand with feet wide, toes forward. (1) bend the right leg (left stays straight) and lean down to touch the right foot. (2) Press rt. leg straight to original position. (3) bend left leg (rt. stays straight) and lean down to touch left foot. (4) Press left leg straight to original position.<br />  A good compliment to Windmills."
Windmill,"An important stretching exercise. Begin standing with feet wider than your shoulders and arms straight out form your sides. With your legs kept straight, touch your opposite toe with your hand. Also called Toy Soldier."
