Bolt 45s,As in Usain Bolt Olympic runner. The Colt 45s of legs. Begin with 15 squats full standing position down to halfway position and return. Then go from halfway down position to full squat position and return up to halfway position 15x. Finish off with 15 full squats or jump squats.
Bonnie Blairs,"Jumping Lunges. Yes, it's really that simple."
Bucket Brigade Lunge,"With Rock or other coupon in hand, backwards lunge and twist towards front leg. Alternate legs and direction…like in a bucket brigade."
Bulgarian Squats,AKA Bulgarian Split Squats – a version of a single-leg squat where the back leg is elevated such as on a bench or another guy's back
Cheerleader,"Start in SSH position, go to the up SSH position, on the down go into a squat and bring hands to a point below the knees and repeat. Can be called IC or OYO."
Chinook Squats,"Three Chinook arm circles, followed by a squat, count in cadence. Repeato until you feel you've had enough."
Cindy Crawford,"Like Cindy (AMRAP 5 pull-ups, 10 merkins, and 15 squats) Plus 20 LBCs and 25 toe raises to get the full body bikini ready.  Complete 20 rounds in 30 minutes and you’re ready for the two piece!"
Circle Burp,"PAX Circle up and start chopping feet or doing high knees. Starting with the Q and going around the circle each PAX, one by one, calls out ""down"" and everyone drops and does a burpee. The circle burp is complete after each PAX in the circle has called ""down"". This is similar to doing Up Downs."
Contra Burpees,Burpees with increasing number of merkins. Especially effective when combined with Broad Jumps.
Copperhead Lunge,"In the same family as the Copperhead Squat, it is a stepped lunge with one leg at a time, go down further each count in a 4 count cadence."
Copperhead Squat,"Regular squat but lowering body slowly on first 3 counts, then lifting up on 4 count. Good form is keeping hands on back of heads with elbows held back, weight on heels, and back kept straight."
Cracker Jacks,"Starting in ATG-Frog Squat position, w/ both arms extended straight down b/w legs + hands planted on ground. Perform a Star Jump & return to 1st position."
Creapees,"This is a normal burpee with a creature merkin variant at the bottom. This version of the creature merkin is where the creature is climbing out of the black lagoon, so it is performed in front of a bench and transitions from a regular merkin to an inclined merkin (F3Orlando Flowerchild favorite)."
Daft Punk,"Lunge exercise performed in cadence with a cadence count that you cycle through three times (12 count move). Also sometimes know as the ""around the world lunge"" hence the F3 Moniker after Daft Punk's classic ""Around the World."" Right leg lunge forward (step back to center after each) / Right leg lunge sideways / Right leg lunge back / Left leg lunge back / Left leg lunge sideways / Left leg lunge forward. This completes one full Daft Punk."
Dan Taylor,"Punishing leg exercise that is a cousin (of sorts) to Jack Webb. Named after Lt. Dan in Forrest Gump, it combines 1 squat followed by 4 lunges (alternating legs) in ascending order (maintaining the 1:4 ratio). It will leave the PAX feeling like ""they ain't got no legs""."
Dancing Bear Pyramid,PAX perform 1 Merkin and then recover to perform 1 Dancing Bear (Andean Bear from Nashville Zoo on news…basically a jump squat and OHP). R&R going up until 10 & 10. Then back down the other side of the pyramid back to 1 each. Great way to get in 101 Merkins and OHP Jump Squats in ~6 minutes as invented at F3Nolensville
Daniel-Son,"Karate Kid crane kick position. Alternate legs in quick succession. ""If do right, none can defend."""
Dark Webbs,"A series of Webb routines.  A Jack Webb starts with 1 Merkin and 2 Raise the Roofs, then the Merkins increase one at a time while the Raise the Roofs increase in that 1 to 2 ratio, so that you end with 10 Merkins and 20 Raise the Roofs.  The Dark Webb consists of all the following, done without rest:<br />  Jack Webb – 1 Merkin to 2 Raise the Roofs<br />  House of Paine – 1 Jump Squat with 2 Iron Mikes / Bonnie Blairs / Jump Lunges (one per leg)<br />  Captain Thor – 1 Big Boy with 2 American Hammers (4 count, if you want the PAX to stop complaining)<br />  Happy Jack Webb – A bad marriage between a Happy Jack and a Jack Webb – 1 Burpee with 2 Side Straddle Hops (at this point 4 count is unnecessary)<br />  This one is fairly brutal, so don't plan on getting much out of the PAX after it.  Invented by Preach from Birmingham."
DaVinci Cartwheel,"Begin in a low squat. Reach across with both hands, placing your left hand next to your right foot and your right hand a bit further off. Push off with your feet, lift your hips over your shoulders into a mini tucked handstand, then (as gracefully as possible) put your feet back down past your right hand (left foot next to right hand), facing the same direction as you started. Rinse and repeat. Sometimes called a ""monkey crawl"" or ""monkey scoot."" Can be done in both directions."
Derricks,"Single leg dead lift, slow 4-ct in cadence. Good warm up/balance move. Movement resembles oil derricks."
Dirty Harry,"Crab walk forwards or backwards. Every time a step is taken, stepping leg is extended parallel to ground before being placed back on ground. Best if done over a long distance."
Dodo bird,"With two bricks assume the People's Chair, brick in each hand and at rest down your sides is the default position. In cadence or OYO, (1) side shoulder raise [arms straight and lifted to the sides to shoulder height], (2) back to default, (3) front shoulder raise [arms straight and lifted in front of you to shoulder height], (4) back to default. After doing these you'll find out why the Dodo is extinct. First, never flap your wings in front of you. Second, never try to fly while holding bricks. This can be combined with the Wonder Bra to perform the Wonder Dodo. Follow 1, 2, 3 above, then (4) bring arms in to the chest, (5) shoulder press above your head, (6) bring arms back to the chest, (7) front shoulder raise, (8) back to default described above."
Duck and Weave,"Pax line up as if doing an Indian Run, except this offers more pain. The Pax start duck walking and the six runs to the front by weaving in between each Pax member. Then he joins the rest of the Pax duck walking until everyone has weaved to the front at least once or until the Q's legs burn out."
Duck Jousting,"Friendly combat between PAX in the duck walk position. Arms must remain crossing your chest. Bumping, nudging, rubbing and checking are highly encouraged. There is no biting, scratching, standing up or falling over or you are out. Kicking is actually allowed if you are possibly able to remain in the duck walk position on one leg. Last man to remain on his feet in the duck position is declared the winner. Best performed as the final exercise of 6MOM."
Duck Walk,"The duck walk is an exercise done by squatting and walking slowly, while relying on your hips, quadriceps, hamstrings and gluteal muscles for support."
Dutch Skate,"Half way squat with hands behind the back. Jump forward- right (45 degrees) landing on right foot, pull left foot behind right lower leg, Lh shin kisses rh calf. Left foot should not touch the ground. Jump forward-left (45 degrees), land on left foot, pull rh foot behind lh such that chin hits calf. Repeat in cadence, best done in single file. Q provides cadence. Should look like speed skaters on land."
Dwight Howard,"Standing facing a wall, jump from rest with both hands and touch as high up on the wall as possible (like Dwight Howard slapping a sticker on the backboard while dunking). AMRAP while your partner circles a building. Normally part of a larger set (people's chair, rocky balboas, donkey kicks, etc.) of partner work."
El Capitan,"El Capitan is a deep walking lunge going up a small hill. The lunge has the back leg straight out behind you, your front leg at 90 degrees or less – both hands go fully on the ground in merkin position on the inside of your front leg. Return to a standing position and repeat the lunge until you reach the top of the hill. Named El Capitan because it looks like you are scaling a sheer rock face."
Elvis Meets Forrest,"Referencing the meeting between ""Elvis"" and ""Forrest Gump"" – alternative to lunges over a distance. Do your best impression of Forrest walking with leg braces and teaching Elvis his patented moves."
Everest,"Find a set of stairs or a hill. Lunge up one step, perform 1 squat, lunge up with other leg, perform 1 squat, repeato to top. Works best with many steps or sizable hill."
Failure to Launch,"Hold Al Gore while Q counts down from 10. At Lift-Off, explode up into a tuck jump, immediately returning to Al Gore upon landing. Repeat until unable to leave the ground (usually around rep 8 or 9, depending on count speed)"
Flying Nun,Lunge walk with little baby arm circles
Frankensteins,"Stand with Arms straight out. As you walk forward, raise each leg as high as you can toward corresponding arm. Knees slightly bent. Looks like Frankenstein."
Get Low,"Performed to the song Get Low by DJ Snake, hold the people's chair while the song says Get Low over and over again. When the Beat Drops do squats up and down in Cadence with the beat. The song will repeat and you can either repeat this or you can drop to a low plank. Hold the low point of a merkin while the song says Get Low for what seems like a ridiculously Long Time. When the Beat Drops do merkins, if you can. Good warm up to a ridiculous song"
Google Bun Shaper,Walking Lunge and extend back leg at a slight angle to align with the glute muscle fibers. Make sure to squeeze and focus on the glute you are raising.
Gorilla Humpers,"Like Monkey Humpers, only bigger! Stand with feet much wider than shoulder width, half-squat performed while grabbing the inside of your ankles. Still gets all of the burn, but it's significantly different than your normal monkey hump."
Ground Pounder,"Starting position – holding large rock up near chest. On 1: Lift Rock over head, On 2: bring rock back to chest, On 3: bring rock down to pound the ground in a deep squat then return to starting position."
Happy Jacks,"Do 5 side straddle hops in cadence then after the 5th one everyone does two jump squats. Like this… Side Straddle Hops IC: One, two, three, ONE! One, two, three, TWO! One, two, three, THREE! One, two, three, FOUR! One, two, three, FIVE! Quickly followed by two jump squats. Repeat 4x or until no one can breathe."
Hillbilly Squats,"Both hands behind your head, elbows out. Legs/feet set as in a sumo-squat ready position (feet slightly wider apart and pointed more outward than a normal LSS ready position). Initiate movement with a deep sumo squat, then transition to a hillbilly walker – after you thrust up you lift one knee up and side crunch the same side elbow down to where they both almost or lightly touch. Then place foot back down and straighten up from the side crunch. That's one rep. Repeat, alternating L-R sides as you go.  Could be called Sumo Hillbilly as well."
Howling Monkeys,"In a circle, everyone grabs their ankles in Monkey Humper fashion (or Gorilla Humper, for the fearless) . The first person does ten monkey humpers followed by the next person and so on as in other ""ring of fire"" exercises. Don't let go of the ankles! Depending on the number of PAX, two rounds seems to result in Howling Monkeys. This will definitely not be a crowd pleaser, and it might be better to not be seen by light of day in a public space."
Hydraulic Humper,"Added to a monkey humper or gorilla humper to increase the intensity of the burn in the legs. While at the nadir of the humper go down to the right knee, then the left knee, then back up in reverse, then complete the bumper."
Hydraulic Squat,"Begin by doing a squat, once in the squat position put your right knee on the ground followed by your left knee, next bring your right knee up followed by your left knee then stand up."
Imperial Squat Walker,"Cruel cousin of the Imperial Walker. This 4-count exercise starts with hands clasp on head. Count 1 = a squat. Count 2 = stand up and bring one knee up to the opposite elbow. Count 3 = a squat. Count 4 = stand up, other knee to other elbow. Q should be mindful to count at a pace that allows/encourages a nice, deep squat. Rushing the count produces girly squats."
Iron Mike,"A much cooler name for ""jump lunges"", ""lunge jumps"", or ""scissors jumps""… performed in various military units as a grinder exercise. A 4-count exercise: ONE- left leg lunge, TWO- jump up from lunge position reversing legs in the air, THREE- right leg lunge, FOUR- jump up from lunge position reversing legs in air… repeat as necessary to end Mumble Chatter."
Iron Squat,Squat thruster but with arm movement like iron cross lifting brick or paver from side up to straight across shoulders. In 4 count cadence or oyo. 1: down squat with arms down. 2: arms raised to parallel. 3: arms down. 4: stand from squat.
Jack Moses,"The Jack Moses is a cousin to both the Jack Webb and Iron Hulk. Pax circle up for a plank jack and then stand to lock hands (please don't hold hands) for air presses in 1:4 ratio. (May be used to point to leadership lessons from account of Moses' arms becoming tired and those who came along side to hold them up). Or use at next 2nd F. Look smooth as you belly up and order a ""Jack Moses please. Shaken not stirred."""
Jacked Up,"A series of different types of jumping jack exercises performed with a descending count in cadence. A typical Jacked Up would go as follows: SSH x 50 IC Seal Jacks x 40 IC Plank Jacks x 30 IC Crossover Squat Jacks (aka Deny Terio) x 20 IC Smurf Jacks x 10 IC Alternatively, the Q can keep the count all the same."
Jackhammer,"The starting position is the squat position just above 90 degrees (thighs parallel with ground) while keeping the body quiet, jump as quickly as possible with just using the lower body repeat this as many times in the set time (30 seconds suggested)"
Johnny Drama,"Stand with your toes on a stair. One hand on the handrail to the side. Drop your heels below the stair, and then do a calf raise (Technically a Negative Calf Raise). Johnny Drama wanted Calf implants because his calves were not big enough – get them bigger using this. Will smoke the PAX when multiple sets of 25+ are done in workout and folks start running funny."
Johnny Roscoes,Similar to UP and DOWNS but Chop your feet or high knees. On Q’s signal you drop to the the dirt and roll over then bounce back up and resume chopping or high knees until Q signals again roll RIGHT or LEFT.
Juggernaut,One PAX straps on a ruck (30 or 45 lb.) and carries two kettlebells (each in one hand; 30 or 45 lb.) while doing lunges to and from a certain point and back (typically 50 yards round trip). 30 lb. kettlebells and ruck weight for the regular Juggernaut; 45 lb. kettlebells for Super Juggernaut. Pax can carry kettlebells as farmer carries or lifted above the head for Ultra Juggernaut status.
Jump Squat Holds,"As a group, perform jump squats counting down from 10 to 1. Then hold an Al Gore counting down from 10 to 1. Repeat starting at 9 then 8, etc… Surprise the group by holding the last Al Gore for 10 seconds. Its sure to bring out the mumbles."
Jump Ups,"On a low wall, jump with both feet from ground up on the wall and back to the ground. Usually done as a ladder along with another exercise."
La La Leggy,"This consists of doing squats, lunges (both legs), drop lunges (both legs), squat jumps, and calf raises repeated one after the other usually 20 reps each with no rest. A good finisher to a workout."
Leg Wrecker,"Split pax into 2 groups. Separate groups at a distance as determined by Q (20-25 yards is a start). Group 1 does Lt. Dan's until they reach Group 2. Group 2 holds Al Gore. Upon arrival, Group 1 holds Al Gore while Group 2 Lt. Dan's back. Rinse and Repeat with Sumo Squats (and/or other leg exercises) instead of Lt. Dan's."
LL Cool J,"Pax performs Alternating Lunges (R-L), then a standard Burpee & finish with a Jump Squat = LL Cool J. The ""Cool"" part is the burpee."
Lt. Danger,Lt. Dans plus a merkin. The sequence goes lunge-lunge-squat-merkin.
Lt. Dans,"A Squat and 2 Single-leg Lunge combination in ascending rep counts of each, usually up to 10. From Forrest Gump, Lt. Dan ""ain't got no legs."""
Lt. Get-ups,"Perform two leg lunges forward followed by a prisoner get up. Perfect for crossing a field with a Pax. Sort of a mashup of Lt. Dans and Prisoner Get ups. Often greeted with, “what the heck”?"
Manmaker,Dumbell Merkin followed by right arm and left arm rows. Jump feet in then bring the weights up to shoulders while squatting. Similar to a dead lift. When coming out the squat shoulder press at the top.)
Mario,"Double Box jumps on picnic tables (or stairs)… Jump to seat, jump to tabletop, stand up, walk down. Named Marios for what we think are obvious reasons."
Mexican (Jumping Bean) Squats,"Perform a full squat, then a hop or jump."
Mexican Jumping (Bean) Pull-ups,"Perform squat, jump to the pull up, complete pull up."
Monkey Drill,"Sideways lunge (defensive basketball slide) palms to ground as you extend. Done in two sets, once each direction as part of parking lot fun. Thanks Coach McCoy."
Monkey Humpers,A half-squat performed while grabbing the inside of one's ankles. This restricts movement to a half-squat type exercise but increasing the burn.
Monkey Humping Goblet Squat,"When you need to go ape…with a kettle bell, no better way than with the MHGS. Grab your KB ready for a goblet squat, begin going down to the squat position bending knees / pivoting at hips / keeping back straight and hold, keeping KB in hand transition using only knees and hips to pivot your rear out in a monkey humper then return to squat, rise up to finish the squat and count it as 1. Great as a ladder 10 to 1 or 1 to 10 combined with an upper body exercise (like a bicep curl chest press combo)."
Monkey Jumpers,Start with a half-squat while grabbing the inside of your ankles. Go down and up then let go of the ankles and jump.
Mucho Leg-o,"1) Narrow squat (feet together), 2) regular-stance squat, 3) wide squat, 4) bonnie blair (jumping lunge) with left foot forward, 5) bonnie blair with right foot forward (then back to narrow stance). Repeato until you look like a baby giraffe stumbling across the Savannah."
NEMOs,"This routine mixes a get-up with a blockee.<br /> Start laying flat on your back, with a cindy on the ground above your head.<br /> Grasp the cindy, bring to your chest, perform one press straight up.<br /> Place cindy to one side, then kick out your legs or flip over to an inclined plank position.<br /> Perform one incline merkin, then without releasing the cindy, stand up and perform an overhead press.<br /> Return to inclined plank, perform another inclined merkin.<br /> Return to position on your back, perform one press straight up over chest with cindy.  <br /> Return cindy to position over your head for one rep.<br /> Courtesy of Honker, F3 Pooler"
No Surrender,"Begin the no-surrender in the standing position with your hands locked behind your head and elbows pointing outward.4 count: 1.Go down on left knee, then 2. down on the right knee so now you're on both knees. 3.Then stand back up on left leg then  4. up with the right leg.  After half the desired reps, switch the starting leg so that you don't favor one side."
No Surrender Indian Plank,"The entire PAX holds the full plank position. Starting in the down/rest position, Q gives the ""up"" signal and everyone assumes the full plank. The PAX at the rear then completes 5 no-surrenders, returns to the full, up, plank position, and gives the ""down"" signal. After a brief (approx. 5 second) rest, Q again gives the ""up"" signal, and the next PAX completes their no-surrenders. This continues until everyone had completed their no-surrenders."
Nutcracker,"With a  brick in each hand held overhead, perform a lunge. At the same time, lower the arms and bring the bricks together between the legs. Return to the standing position, raising the bricks back overhead."
Old Flame Drill (OFD),These 4 runner specific excercises done in sequence. runner's squat> scorpions>bulgarian split squat> bridges. All excercises done single leg 10 per leg (or more). \ Search youtube for a demonstration of these exercises.
Peeping Lipstick,"A combination of a Turkish Getup and Star Jump.  PAX performs the Turkish Getup and then immediately performs 1 Star Jump.  The transition between TG and SJ should be done fluidly.   This exercise name comes from the combination of 2 PAX names, ""Peeping Tom"" (who loves Turkish Getups) and ""Lipstick"" (who loves Star Jumps), who were once working out together as Co-Qs and decided to combine the two movements.  The name Turkish Getup Star Jumps is just way too long to say."
People's Air Presses,"While squatting in the People's Chair, perform overhead air presses."
People's Chair,Sitting against a wall with knees bent at a 90-degree angle for a period of time TBD by the workout leader.
People's Chair Modification,"Things to distract your mind while in the Peoples Chair – Overhead presses, holding arms horizontal, left and right punches, left or right leg off the ground, and wall/thigh/chest slaps."
Pistol Squats,"One legged squats. Extend right leg out front. Lower and keep right leg extended out, then raise back up. Flapjack. Takes balance. Can be done in front of a pole for balance help. Demo here: https://www.youtube.com/watch?v=8tqKpdY7_vE"
Piston,"Starting in standing position and a Block/Coupon on the ground at your feet, squat and pick up block and return to standing position with it. Then perform a squat and place the block to it's original position and return to original standing position w/out the block. Uncoordinated pax 9most everyone) will eventually get out of sync thereby looking like the pistons of that ""See-Thru"" engine block you see at the car parts store."
Post Hole Diggers,"Using your log, pole, post, etc. (Fault Line has two-man poles) stand it on its end and squat and lift using your legs, shoulders and arms to lift the pole until your arms are extended over head. Then reverse the upper body portion to bring the pole down. That's one rep! This is a great full body exercise when done correctly."
Prayer Squat,"A body-weight squat performed with hands clasped in front of your chest. Just like a goblet squat with a dumbbell, just without the dumbbell."
Princess Tea Party,"PAX grab a partner and form two rows with partners facing each other in plank position. Partners do Pattycake Merkins for set number of reps, followed by a Partner People's Chair (Back to back wall sit) for set time. Rinse and repeat as necessary."
Prisoner's Squat,Body-weight squat performed with hands on your head or laced behind your head.
Pull-up Squats,"Do one pull-up. Drop down, squat once, then repeat. (Thanks Tiny Dancer in Swamp Rabbit.)"
Pump Jack,"Pax pair up and get in plank position.  The Q chooses a number of merkins (we use 5) per set.  Pax 1 does 5 merkins while pax 2  planks, then switch.  Continue alternating merkins and planking until one pax in the pair reaches merkin failure.  After failure each pair gets up and lunge walks in circles around the other pax pairs until the last team reaches failure.  The pairs must encourage and push each other and then encourage others while lunge walking.  Last team to fail wins.  Named pump jack because all the pax going up and down during merkins looks like a field full of oil wells with  pump jacks, and you are pumped when it is over. Proper merkin form must be used by all.  With an uneven number of pax the Q does merkins on his own."
Pure BURN,"1. Face a wall, fence….anything that you can hold onto; 2. Get in the squat position 3/4 up while holding the fence; 3. On the balls of your feet (tip toes); 4. Pulse 3/4 down to 1/2 (90 degrees) X 10; 5. Pulse 1/2 all the way down X10. Repeat until PAX complains… it wont take long."
Quadraphilia,"Find a steep hill (Hill of pain). Set a timer, i.e. 4 minutes. Run forward down the hill and run backwards up the hill repeato until the timer runs out."
Red Bull Smurf Jack,"Same as the standard smurf jack, except high-tempo cadence at 2 or 3 times the speed of a normal cadence. Always done in cadence, no less than 20. 20 is challenging, 30 will take your breath away, and 40 would be a very high level of achievement. Heart rate spikes, so be mindful of what the PAX can handle."
Robert Plants,"Running up a stairway, often in a urine-stinking parking garage."
Rock-a-bye Baby,"People's chair with a rock, block or any other heavy object. Chair position, starting with the heavy object over your head, bring down to chest, push object straight out (chest high) and then left to right (1 each) for russian twist, bring back to starting position over head. Repeat until QIC sees fit."
Sally's Cousin,"Variation of ""Bring Sally Up"" – Play ""Flower"" by Moby. Instead of the merkin position, start in a downward squat position, and hold. Each time ""bring Sally up"" is sung, stand up, and then ""bring Sally down"", go back down to the squat position. Definitely will feel the burn in your quads!"
San Antonio Shuffle,"Left Leg Lunge, Right Leg Lunge, Burpee, Plankjack."
Shortie Squats,"Pick up your 2.0, put them over your shoulder in a fireman carry position, peform a standard partner squat.  Useful for waking sleepy 2.0s. For next level, and if a HIM has multiple shorties, see how many he can pick up and squat at the same time."
Side-straddle Hop Jumps,"This is a side straddle hop beginning in a squat with a jump all in one motion. best done in cadence. Start in Chair position with your hands by your side. One is a jump to split legs with hands and arms up (like the top of the side straddle hop but you are in the air). Two is the landing, back to where you started with a legs together squat (chair position), three is another jump, four is another squat. If you can get to 15 IC then you're killin it."
Side-straddle Squats,This is a side straddle hop while in chair position. Begin in Chair position (a squat with your legs together) and arms to your side. Jump to the squat position with your legs apart and raise your hands up like a side straddle hop while in a squat.
Sleep Walkers 123,"3 part Routine. Start with 1 Squat, 2 Toe Touches (each leg 1), 3 Lunges. Then increase in the same ratio (2 squats, 4 toe touches, 6 lunges, etc.) upward to 10 squats, or number of your choosing."
Sleeping Hillbillies,Lay on either your right or left side – do unilateral Hillbillies with one arm and one leg … one hand behind your head and same side knee comes up to elbow. Flapjack.
Slowjangles Biscuit,"Similar to the Bojangles Biscuit, but instead of running around the (biscuit-shaped) circle, lunge around the circle. Throw in some blueberries (burpees) for fun each lap."
Smurf Jacks,Side straddle hop performed in the squat position. Can be done in cadence or OYO.
Sneaky Gorilla,"Facing the side, drop to a low squat and put knuckles on ground. Kick one leg out to the side in the direction you will be traveling (you'll be in a low lateral lunge). Slide across to a lateral lunge with the other leg straight, keeping knuckles on the ground as you slide. Now spin around 180 degrees, kick the new front leg out to a lateral lunge, slide across, spin, etc. The longer the distance to travel, the greater the burn. Resembles a gorilla trying to tip-toe/sneak into a room."
Speed Humpers,"60 seconds straight of Monkey Humpers, as fast as possible. Preferably done in an area with multiple Speed Humps and with signs pointing out said Speed Humps as this is the perfect place to do them."
Spiced Rum Squat,"Raise one leg and place on a surface 18-24 inches off the ground, think Captain Morgan stance; then perform a squat. Your 6 should touch your raised leg heel for maximum impact. Alternate between left and right leg being raised. Benches and Picnic Table Seats work very well."
Squat,"Begin from a standing position. Move hips back and lower the torso to ""sit"" as deeply as possible while maintaining an upright position. Return to a full standing position."
Squat Potato,Hot potato in squat position. PAX form a circle with everyone facing out. PAX then pass a heavy object around the outside of the circle while in squat position until the Q says halt. Add more objects in depending on the size of the circle.
Squat Thrust,"Begin from a standing position. Move hips back and lower the torso to ""sit"" as deeply as possible while maintaining an upright position. Return to a full standing position while also mimicking arms pressing upward as if to thrust weight over your head."
Squat Walking Rockette,"Start in a parallel squat with arms in front and kick your left leg toward your right hand, squat back down, kick your right leg toward your left hand, squat back down and repeat."
Squerkin,Two man teams. First man in merkin position with second man behind holding first mans legs at his waist. First man does one merkin with his legs elevated. Second man perfroms one squat using the body weight of the first mans legs. Begin again for # of reps called by Q.
Stairway to Seven,"Obvious derivative of the Robert Plant…At a stadium, wide stairwell or amphitheater, start with 1 Burpee at bottom, 1 incline push-up on first step, run to top, 1 squat on top step, then run back down. Repeat 7 times up increasing reps of each exercise by 1 each time, so you finish with 7 burpees, 7 incline push-ups, run to top, 7 squats at top. Other exercises ascending from 1-7 can be added or substituted, such as supine pull-ups if you have the apparatus available, like a stadium railing."
Star Jack,"Combination of Side Straddle Hop and Squat Jump usually done OYO. From balled up squat position jump up and spread your arms and legs into an X or ""star"" then return to balled up squat position."
Step ups,"On a low wall, raise each leg one at a time up on the wall. Sometimes the second leg can be brought up to the chest before placing on wall. Often times done in a ladder along with another exercise."
Steve Earle,"Starting position is standing w/hands behind your head. In four-count cadence, perform Copperhead Squat with a Hillbilly thrown in on the 4th count of the cadence."
Stirkin,"Steps ups, one each leg, then irkin using same surface as used for the stepups"
Suicide Squats,"Start in normal starting squat position, squat, ~50% of regular squat, then back to normal starting position. Then go to full perpendicular regular proper squat, then back to normal vertical position, then finally go to full deep ankle squat before returning to vertical starting position. Q typically leads this exercise in a cadence of 1, 2, 3, or baby, regular, deep after which PAX reply with the rep count. Great towards the end of a warm-up to transition into the meat of the beatdown."
Sumo Squat,"Feet in wide stance (like a sumo wrestler), squat down and touch ground with both hands. For added fun can add sumo sounds and sumo leg lift between each rep. Also done by some groups as a jump squat with the same touch of the ground."
Suzanne Somers,"Ode to the ""Thigh Master"" infomercial from everyone's favorite girl on ""Three's Company."" Regular squat but pointing your toes outward. Great exercise for inner thigh. Good form is keeping your stance wide, weight on heels, and back kept straight."
The Hightower,"As the Nation knows, F3GrandStrand lost Jacob ""Hightower"" Hancher this past weekend as he was serving as a Myrtle Beach Police Officer.  EOW: 10/03/20.  We did a full workout to honor him.  This is a part of the workout based on a very apropos Bible Verse: Matthew 5:9  Blessed are the peacemakers, for they will be called children of God.  So – 5 Exercises – 9 reps each.  1) Burpees 2)Bodybuilders – burpee with Plank jack 3)Triple Merkin Burpees – burpee with 3 hand release merkins 4)Triple Jump Squat Burpees – burpee with 3 jump squats 5)Putting them all together – Triple Merkin Triple Jump Squat Bodybuilders – burpee with 3 hand release merkins, plank jack, and 3 jump squats"
The Lion King,Start with a coupon tight to your chest. Move into the low squat position and lower the coupon between your knees. Coming up out of the squat raise the coupon high above your head thrusting it upward so that it is weightless for a fraction of second. Think Simba being presented in the Lion King.
Thigh Master,"Starting position – In forward lunge with knees slightly bent. Perform standard lunge movement bending with back knee touching ground and then return to starting position. Done in cadence (all with same leg), count 1 down, 2 up, 3 down, 4 up =1. Continue with set # then switch legs and repeat. Can be performed slow (with knee reaching ground) or fast ultimately resulting in excessive ""burn"" in the thighs."
Three Amigos,"Three members of Pax assume air chair position, but back-to-back-to-back, leaning on each other. Hold position as with wall sits, drop lower and hold, or begin to walk as a group in direction of your choosing."
Tie Fighters,Baby Arm Circles in a lunge position.  Forward BACs with right leg forward.  Backward BACs with left leg forward to balance the Force.
Top Gun,"Perform 10 reps each of 5 standing coupon exercises (Ex: Curls, Rows, Deadlifts, Overhead Press, Squats, Lunges) for 10 minutes. The 5 coupon exercises are repeated for the entire 10 minutes. The Danger Zone happens every minute on the minute when PAX drops coupon and perform 3 Burpees, then pick up where they left off on the coupon exercises. Dial up the suffering by extending the time, increasing the number of burpees, or increasing the reps of exercises. Acapella versions of Kenny Loggins' classic tune Danger Zone are welcomed."
Twinkle Toes,This is an Al Gore (holding a squat with your arms & hands out in front of you) while doing calf raises.<br /> Originally created by F3 Knoxville's Anchorman and implemented heavily at F3 Knoxville JUCO.
Up downs,Chop your feet or high knees. On Q's signal chest hits the dirt and bounce back up and resume chopping or high knees.
Up Straddle Hop,One Legged SSH. Switch legs and continue after reaching number set by Q.
