ROCK,,,,,
Date,Pax,Code,DD Only,DR Only,#REF!
4/20/26,Muy Caliente,,FALSE,,
4/20/26,EVAC,,FALSE,,
4/20/26,Lazarus,,FALSE,,
4/20/26,Wemby,,FALSE,,
4/20/26,Narc,,FALSE,,
4/20/26,Cobbler,,FALSE,,
4/18/26,Tony Hawk,DD,FALSE,,
4/18/26,Hippo,,FALSE,,
4/18/26,Moses,,FALSE,,
4/18/26,Juice,,FALSE,,
4/18/26,Lazarus,,FALSE,,
4/18/26,Squatter,,FALSE,,
4/18/26,Hancock (DR),,FALSE,,
4/18/26,Mario,,FALSE,,
4/18/26,Boomer,,FALSE,,
4/18/26,Tinkerbell,,FALSE,,
4/18/26,Jake,,FALSE,,
4/18/26,Muy Caliente,,FALSE,,
4/18/26,Super Soaker,,FALSE,,
4/18/26,Frodo,,FALSE,,
4/18/26,Cobbler,,FALSE,,
4/18/26,Shaggy,DD,FALSE,,
4/18/26,Cindy,,FALSE,,
4/18/26,Dial-Up,,FALSE,,
4/18/26,Circuit,,FALSE,,
4/18/26,Burgundy,,FALSE,,
4/18/26,Maple (DR),,FALSE,,
4/18/26,Anakin,DD,FALSE,,
4/18/26,Johnny 5,,FALSE,,
4/18/26,Blitz (2.0),FNG,FALSE,,
4/18/26,LinkedIn,Q,FALSE,,
4/18/26,Scooter,,TRUE,,
4/17/26,Cuatro,,FALSE,,
4/17/26,Kookaburra,,FALSE,,
4/17/26,Muy Caliente,,FALSE,,
4/17/26,Dial-Up,,FALSE,,
4/17/26,Huevos,,FALSE,,
4/17/26,Snooki,,FALSE,,
4/17/26,Jake,,FALSE,,
4/17/26,LinkedIn,,FALSE,,
4/17/26,Squatter,,FALSE,,
4/17/26,Elmer,,FALSE,,
4/17/26,Mario,,FALSE,,
4/17/26,Sack,,FALSE,,
4/17/26,Xena,,FALSE,,
4/17/26,Cobbler,Q,FALSE,,
4/17/26,O-Ring,Q,FALSE,,
4/16/26,Mario,Q,FALSE,,
4/16/26,LinkedIn,DD,FALSE,,
4/16/26,Cobbler,DD,FALSE,,
4/16/26,Wemby,,FALSE,,
4/16/26,Dial-Up,,FALSE,,
4/16/26,Mix-A-Lot,,FALSE,,
4/16/26,TeaTime,,FALSE,,
4/16/26,Werner,,FALSE,,
4/16/26,Lazarus,,FALSE,,
4/16/26,Muy Caliente,,FALSE,,
4/16/26,Narc,,FALSE,,
4/16/26,Jake,,FALSE,,
4/16/26,Squatter,,FALSE,,
4/16/26,O-Ring,,FALSE,,
4/16/26,Snooki,,FALSE,,
4/16/26,Sack,,FALSE,,
4/15/26,Jake,Q,FALSE,,
4/15/26,Cobbler,DD,FALSE,,
4/15/26,LinkedIn,DD,FALSE,,
4/15/26,Wemby,,FALSE,,
4/15/26,Mario,,FALSE,,
4/15/26,Elmer,,FALSE,,
4/15/26,Snooki,,FALSE,,
4/15/26,Muy Caliente,,FALSE,,
4/15/26,Lazarus,,FALSE,,
4/15/26,Juice,,FALSE,,
4/15/26,Narc,,FALSE,,
4/15/26,Dial-Up,,FALSE,,
4/15/26,O-Ring,,FALSE,,
4/15/26,Buttercream,FNG,FALSE,,
4/15/26,Fertile,,FALSE,,
4/15/26,Cuatro,,FALSE,,
4/15/26,Squatter,,FALSE,,
4/14/26,Xena,Q,FALSE,,
4/14/26,LinkedIn,,FALSE,,
4/14/26,Cobbler,,FALSE,,
4/14/26,Jake,,FALSE,,
4/14/26,Mario,,FALSE,,
4/14/26,Lazarus,,FALSE,,
4/14/26,Muy Caliente,,FALSE,,
4/14/26,Dial-Up,,FALSE,,
4/14/26,O-Ring,,FALSE,,
4/14/26,Narc,,FALSE,,
4/14/26,Elmer,,FALSE,,
4/14/26,Wemby,,FALSE,,
4/14/26,Juice,,FALSE,,
4/14/26,Sack,,FALSE,,
4/14/26,Snooki,,FALSE,,
4/13/26,Wemby,Q,FALSE,,
4/13/26,LinkedIn,,FALSE,,
4/13/26,Cobbler,,FALSE,,
4/13/26,Mario,,FALSE,,
4/13/26,Elmer,,FALSE,,
4/13/26,Snooki,,FALSE,,
4/13/26,Muy Caliente,,FALSE,,
4/13/26,Lazarus,,FALSE,,
4/13/26,Jake,,FALSE,,
4/13/26,Huevos,FNG,FALSE,,
4/10/26,EVAC,Q,FALSE,,
4/10/26,Cobbler,,FALSE,,
4/10/26,Wemby,,FALSE,,
4/10/26,Burgundy,,FALSE,,
4/10/26,Kookaburra,,FALSE,,
4/10/26,O-Ring,,FALSE,,
4/10/26,Narc,,FALSE,,
4/9/26,Juice,Q,FALSE,,
4/9/26,Cobbler,DD,FALSE,,
4/9/26,Squatter,DD,FALSE,,
4/9/26,O-Ring,DD,FALSE,,
4/9/26,Narc,,FALSE,,
4/9/26,Muy Caliente,,FALSE,,
4/9/26,Lazarus,,FALSE,,
4/7/26,LinkedIn,QDD,FALSE,,
4/7/26,Cobbler,DD,FALSE,,
4/7/26,Squatter,DD,FALSE,,
4/7/26,O-Ring,DD,FALSE,,
4/7/26,Momma's Boy,DD,FALSE,,
4/7/26,Gridlock,DD,FALSE,,
4/7/26,Narc,,FALSE,,
4/6/26,Cobbler,QDD,FALSE,,
4/6/26,Squatter,DD,FALSE,,
4/6/26,Juice,,FALSE,,
4/6/26,Narc,,FALSE,,
4/3/26,LinkedIn,QDD,FALSE,,
4/3/26,Cobbler,DD,FALSE,,
4/3/26,Squatter,DD,FALSE,,
4/3/26,O-Ring,DD,FALSE,,
4/3/26,Hippo,,FALSE,,
4/3/26,Narc,,FALSE,,
4/2/26,Narc,Q,FALSE,,
4/2/26,O-Ring,,FALSE,,
4/2/26,Cobbler,,FALSE,,
4/2/26,Mountie,,FALSE,,
4/2/26,Search Party,,FALSE,,
4/2/26,Fertile,,FALSE,,
3/31/26,Squatter,QDD,FALSE,,
3/31/26,LinkedIn,DD,FALSE,,
3/31/26,Cobbler,DD,FALSE,,
3/31/26,O-Ring,DD,FALSE,,
3/31/26,Narc,,FALSE,,
3/30/26,Tropic Thunder,Q,FALSE,,
3/30/26,Gridlock,,FALSE,,
3/30/26,Wemby,,FALSE,,
3/30/26,Narc,,FALSE,,
3/30/26,EVAC,,FALSE,,
3/30/26,McConaughey (DR),,FALSE,,
3/27/26,Cobbler,Q,FALSE,,
3/27/26,Elmer,,FALSE,,
3/27/26,Sack,,FALSE,,
3/27/26,O-Ring,,FALSE,,
3/27/26,Tinkerbell,,FALSE,,
3/26/26,Thermostat,QDD,FALSE,,
3/26/26,Cobbler,DD,FALSE,,
3/26/26,Squatter,DD,FALSE,,
3/26/26,Wemby,DD,FALSE,,
3/26/26,O-Ring,DD,FALSE,,
3/26/26,Elmer,DD,FALSE,,
3/26/26,D20,,FALSE,,
3/26/26,Momma's Boy,,FALSE,,
3/26/26,Sack,,FALSE,,
3/26/26,Narc,,FALSE,,
3/26/26,Dial-Up,,FALSE,,
3/26/26,Kookaburra,,FALSE,,
3/24/26,EVAC,Q,FALSE,,
3/24/26,Squatter,DD,FALSE,,
3/24/26,LinkedIn,DD,FALSE,,
3/24/26,Cobbler,DD,FALSE,,
3/24/26,Fertile,DD,FALSE,,
3/24/26,O-Ring,DD,FALSE,,
3/24/26,Narc,,FALSE,,
3/23/26,Narc,Q,FALSE,,
3/23/26,LinkedIn,DD,FALSE,,
3/23/26,Cobbler,DD,FALSE,,
3/23/26,Squatter,DD,FALSE,,
3/23/26,Elmer,DD,FALSE,,
3/23/26,Juice,,FALSE,,
3/23/26,Momma's Boy,,FALSE,,
3/23/26,EVAC,,FALSE,,
3/20/26,EVAC,Q,FALSE,,
3/20/26,Narc,,FALSE,,
3/20/26,Squatter,DD,FALSE,,
3/20/26,Wemby,DD,FALSE,,
3/20/26,Cobbler,DD,FALSE,,
3/20/26,O-Ring,DD,FALSE,,
3/20/26,Juice,,FALSE,,
3/17/26,D20,Q,FALSE,,
3/17/26,Narc,,TRUE,,
3/17/26,Cobbler,,FALSE,,
3/17/26,LinkedIn,,FALSE,,
3/17/26,Momma's Boy,,FALSE,,
3/17/26,Squatter,,FALSE,,
3/16/26,Redbull,Q,FALSE,,
3/16/26,Cobbler,,FALSE,,
3/16/26,Elmer,,FALSE,,
3/16/26,Thelma,,FALSE,,
3/16/26,Narc,,FALSE,,
3/13/26,Wemby,Q,FALSE,,
3/13/26,O-Ring,,FALSE,,
3/13/26,Narc,,FALSE,,
3/12/26,Mario,Q,FALSE,,
3/12/26,Wemby,DD,FALSE,,
3/12/26,Dr. Frasier Crane,DD,FALSE,,
3/12/26,Squatter,DD,FALSE,,
3/12/26,Dial-Up,,FALSE,,
3/12/26,Thermostat,,FALSE,,
3/12/26,Lobsta,,FALSE,,
3/12/26,Narc,,FALSE,,
3/12/26,D20,,FALSE,,
3/10/26,O-Ring,QVQDD,FALSE,,
3/10/26,Wemby,DD,FALSE,,
3/10/26,Squatter,DD,FALSE,,
3/10/26,Thermostat,DD,FALSE,,
3/10/26,Tropic Thunder,DD,FALSE,,
3/10/26,Lobsta,,FALSE,,
3/10/26,Shaggy,,FALSE,,
3/10/26,Juice,,FALSE,,
3/9/26,Cobbler,Q,FALSE,,
3/9/26,Momma's Boy,,FALSE,,
3/9/26,Wemby,,FALSE,,
3/6/26,Xena,Q,FALSE,,
3/6/26,Cobbler,,FALSE,,
3/6/26,Hippo,,FALSE,,
3/6/26,Narc,,FALSE,,
3/6/26,O-Ring,,FALSE,,
3/6/26,Motorboat (DR),,FALSE,,
3/5/26,Tropic Thunder,Q,FALSE,,
3/5/26,Cobbler,DD,FALSE,,
3/5/26,Squatter,DD,FALSE,,
3/5/26,Lobsta,,FALSE,,
3/5/26,O-Ring,,FALSE,,
3/5/26,Elmer,,FALSE,,
3/5/26,Narc,,FALSE,,
3/3/26,Gridlock,QDD,FALSE,,
3/3/26,LinkedIn,DD,FALSE,,
3/3/26,Cobbler,DD,FALSE,,
3/3/26,O-Ring,DD,FALSE,,
3/3/26,Tropic Thunder,DD,FALSE,,
3/3/26,Narc,,FALSE,,
3/3/26,Hippo,,FALSE,,
3/3/26,Muy Caliente,,FALSE,,
3/3/26,Lazarus,,FALSE,,
3/2/26,EVAC,VQDD,FALSE,,
3/2/26,Wolfie,QDD,FALSE,,
3/2/26,Chip,,FALSE,,
3/2/26,LinkedIn,DD,FALSE,,
3/2/26,Cobbler,DD,FALSE,,
3/2/26,Wemby,DD,FALSE,,
3/2/26,Gridlock,DD,FALSE,,
3/2/26,Xena,DD,FALSE,,
3/2/26,Mix-A-Lot,,FALSE,,
3/2/26,TeaTime,,FALSE,,
3/2/26,Narc,,FALSE,,
3/2/26,Jake,,FALSE,,
3/2/26,Elmer,DD,FALSE,,
3/2/26,Squatter,DD,FALSE,,
3/2/26,Tropic Thunder,DD,FALSE,,
2/27/26,Tinkerbell,QDD,FALSE,,
2/27/26,Cobbler,DD,FALSE,,
2/27/26,Lobsta,DD,FALSE,,
2/27/26,O-Ring,DD,FALSE,,
2/27/26,Tropic Thunder,DD,FALSE,,
2/27/26,Xena,DD,FALSE,,
2/27/26,Wemby,DD,FALSE,,
2/27/26,Squatter,DD,FALSE,,
2/26/26,Narc,Q,FALSE,,
2/26/26,Crevasse,,FALSE,,
2/26/26,Cobbler,,FALSE,,
2/26/26,Elmer,,FALSE,,
2/26/26,EVAC,,FALSE,,
2/26/26,Lobsta,,FALSE,,
2/26/26,O-Ring,,FALSE,,
2/26/26,Tropic Thunder,,FALSE,,
2/26/26,Capriati,,FALSE,,
2/26/26,Kookaburra,,FALSE,,
2/26/26,Sack,,FALSE,,
2/24/26,Snooki,Q,FALSE,,
2/24/26,Squatter,,FALSE,,
2/24/26,O-Ring,,FALSE,,
2/24/26,Lobsta,,FALSE,,
2/24/26,Narc,,FALSE,,
2/24/26,Muy Caliente,,FALSE,,
2/24/26,Lazarus,FNG,FALSE,,
2/23/26,Tropic Thunder,Q,FALSE,,
2/23/26,EVAC,,FALSE,,
2/23/26,Narc,,FALSE,,
2/23/26,Squatter,,FALSE,,
2/23/26,Elmer,,FALSE,,
2/23/26,Juice,,FALSE,,
2/20/26,Wemby,Q,FALSE,,
2/20/26,Juice,,FALSE,,
2/20/26,EVAC,,FALSE,,
2/20/26,O-Ring,,FALSE,,
2/19/26,Elmer,Q,FALSE,,
2/19/26,LinkedIn,DD,FALSE,,
2/19/26,Capriati,,FALSE,,
2/19/26,Narc,,FALSE,,
2/19/26,Sack,,FALSE,,
2/19/26,O-Ring,DD,FALSE,,
2/19/26,Mix-A-Lot,,FALSE,,
2/19/26,TeaTime,,FALSE,,
2/19/26,Kookaburra,,FALSE,,
2/19/26,Squatter,DD,FALSE,,
2/19/26,Xena,DD,FALSE,,
2/19/26,EVAC,DD,FALSE,,
2/17/26,Squatter,Q,FALSE,FALSE,
2/17/26,O-Ring,,FALSE,FALSE,
2/17/26,EVAC,,FALSE,FALSE,
2/17/26,Pivot,,FALSE,FALSE,
2/17/26,Narc,,FALSE,FALSE,
2/16/26,Narc,Q,FALSE,FALSE,
2/16/26,Elmer,DD,FALSE,FALSE,
2/16/26,Squatter,DD,FALSE,FALSE,
2/16/26,Capriati,DDFNG,FALSE,FALSE,
2/13/26,Shaggy,QDD,FALSE,FALSE,
2/13/26,Chip,,FALSE,FALSE,
2/13/26,Cobbler,DD,FALSE,FALSE,
2/13/26,Elmer,DD,FALSE,FALSE,
2/13/26,Frodo,,FALSE,FALSE,
2/13/26,O-Ring,DD,FALSE,FALSE,
2/13/26,Squatter,DD,FALSE,FALSE,
2/13/26,Xena,DD,FALSE,FALSE,
2/12/26,Kookaburra,QVQ,FALSE,FALSE,
2/12/26,Tinkerbell,DD,FALSE,FALSE,
2/12/26,Cobbler,DD,FALSE,FALSE,
2/12/26,Tropic Thunder,DD,FALSE,FALSE,
2/12/26,Squatter,DD,FALSE,FALSE,
2/12/26,O-Ring,DD,FALSE,FALSE,
2/12/26,EVAC,DD,FALSE,FALSE,
2/12/26,Narc,DD,FALSE,FALSE,
2/12/26,Fertile,,FALSE,FALSE,
2/12/26,Lobsta,,FALSE,FALSE,
2/10/26,Squatter,QDD,FALSE,FALSE,
2/10/26,LinkedIn,DD,FALSE,FALSE,
2/10/26,Cobbler,DD,FALSE,FALSE,
2/10/26,Tropic Thunder,,FALSE,FALSE,
2/10/26,Chip,,FALSE,FALSE,
2/10/26,Lobsta,,FALSE,FALSE,
2/10/26,O-Ring,DD,FALSE,FALSE,
2/9/26,Tropic Thunder,Q,FALSE,FALSE,
2/9/26,Narc,,FALSE,FALSE,
2/9/26,Cobbler,,FALSE,FALSE,
2/9/26,Ottoman Empire,,FALSE,FALSE,
2/9/26,EVAC,,FALSE,FALSE,
2/6/26,Thermostat,QDD,FALSE,FALSE,
2/6/26,LinkedIn,DD,FALSE,FALSE,
2/6/26,Squatter,DD,FALSE,FALSE,
2/6/26,Wemby,DD,FALSE,FALSE,
2/6/26,Tinkerbell,DD,FALSE,FALSE,
2/6/26,O-Ring,DD,FALSE,FALSE,
2/6/26,Dealer,DD,FALSE,FALSE,
2/6/26,Jake,DD,FALSE,FALSE,
2/6/26,Tropic Thunder,DD,FALSE,FALSE,
2/6/26,Werner,,FALSE,FALSE,
2/6/26,Wad,DDFNG,FALSE,FALSE,Fri
2/6/26,Narc,,FALSE,FALSE,
2/5/26,Fertile,QDD,FALSE,FALSE,
2/5/26,Xena,DD,FALSE,FALSE,
2/5/26,Squatter,DD,FALSE,FALSE,
2/5/26,Gridlock,,FALSE,FALSE,
2/5/26,O-Ring,DD,FALSE,FALSE,
2/5/26,Cobbler,DD,FALSE,FALSE,
2/5/26,Kookaburra,,FALSE,FALSE,
2/5/26,Narc,,FALSE,FALSE,
2/5/26,Lobsta,FNG,FALSE,FALSE,
2/5/26,Tropic Thunder,DD,FALSE,FALSE,
2/5/26,Elmer,DD,FALSE,FALSE,
2/5/26,Dr scholl's,,FALSE,FALSE,
2/5/26,Ottoman Empire,,FALSE,FALSE,
2/5/26,Hippo,,FALSE,FALSE,
2/3/26,Cobbler,,FALSE,FALSE,
2/3/26,Juice,,FALSE,FALSE,
2/3/26,Ottoman Empire,,FALSE,FALSE,
2/3/26,Squatter,,FALSE,FALSE,
2/3/26,Tropic Thunder,Q,FALSE,FALSE,
2/3/26,Spike,,FALSE,FALSE,
2/2/26,Cobbler,QDD,FALSE,FALSE,
2/2/26,LinkedIn,DD,FALSE,FALSE,
2/2/26,Squatter,DD,FALSE,FALSE,
2/2/26,Mix-A-Lot,DD,FALSE,FALSE,
2/2/26,Elmer,DD,FALSE,FALSE,
2/2/26,Narc,,FALSE,FALSE,
2/2/26,Xena,DD,FALSE,FALSE,
2/2/26,Sack,,FALSE,FALSE,
2/2/26,Tropic Thunder,,FALSE,FALSE,
2/2/26,Chip,,FALSE,FALSE,
1/30/26,Hippo,,FALSE,FALSE,
1/30/26,Squatter,DD,FALSE,FALSE,
1/30/26,Mario,QDD,FALSE,FALSE,
1/30/26,LinkedIn,DD,FALSE,FALSE,
1/30/26,Thermostat,DD,FALSE,FALSE,
1/30/26,Cobbler,DD,FALSE,FALSE,
1/30/26,Ottoman Empire,DD,FALSE,FALSE,
1/30/26,Narc,,FALSE,FALSE,
1/30/26,Kookaburra,,FALSE,FALSE,
1/30/26,Tinkerbell,DD,FALSE,FALSE,
1/30/26,Juice,,FALSE,FALSE,
1/30/26,Tropic Thunder,DD,FALSE,FALSE,
1/30/26,Wemby,DD,FALSE,FALSE,
1/30/26,Fab,FNG,FALSE,FALSE,
1/29/26,Squatter,QDD,FALSE,FALSE,
1/29/26,LinkedIn,DD,FALSE,FALSE,
1/29/26,O-Ring,DD,FALSE,FALSE,
1/29/26,Ding Dong,DD,FALSE,FALSE,
1/29/26,Fertile,,FALSE,FALSE,
1/29/26,Narc,,FALSE,FALSE,
1/29/26,Juice,,FALSE,FALSE,
1/29/26,Super Soaker,,FALSE,FALSE,
1/29/26,Whistleblower,,FALSE,FALSE,
1/29/26,Johnny 5,,FALSE,FALSE,
1/27/26,Narc,Q,FALSE,FALSE,
1/27/26,Ottoman Empire,FNG,FALSE,FALSE,
1/27/26,LinkedIn,,FALSE,FALSE,
1/27/26,Cobbler,,FALSE,FALSE,
1/27/26,D20,,FALSE,FALSE,
1/27/26,Juice,,FALSE,FALSE,
1/27/26,Freedom,,FALSE,FALSE,
1/27/26,Squatter,,FALSE,FALSE,
1/27/26,Fertile,,FALSE,FALSE,
1/26/26,LinkedIn,Q,FALSE,FALSE,
1/26/26,Squatter,,FALSE,FALSE,
1/26/26,Narc,,FALSE,FALSE,
1/23/26,LinkedIn,QDD,FALSE,FALSE,
1/23/26,Narc,,FALSE,FALSE,
1/23/26,Cobbler,DD,FALSE,FALSE,
1/23/26,Wrench,DD,FALSE,FALSE,
1/23/26,Thermostat,DD,FALSE,FALSE,
1/23/26,Wemby,DD,FALSE,FALSE,
1/23/26,O-Ring,DD,FALSE,FALSE,
1/23/26,Elmer,DD,FALSE,FALSE,
1/23/26,Kookaburra,,FALSE,FALSE,
1/23/26,Ding Dong,DD,FALSE,FALSE,
1/23/26,Dealer,DD,FALSE,FALSE,
1/23/26,Dial-Up,,FALSE,FALSE,
1/23/26,Xena,DD,FALSE,FALSE,
1/23/26,Gridlock,,FALSE,FALSE,
1/23/26,Snare,DD,FALSE,FALSE,
1/22/26,LinkedIn,QDD,FALSE,FALSE,
1/22/26,Cobbler,DD,FALSE,FALSE,
1/22/26,Elmer,,FALSE,FALSE,
1/22/26,Narc,,FALSE,FALSE,
1/22/26,Tinkerbell,DD,FALSE,FALSE,
1/22/26,O-Ring,DD,FALSE,FALSE,
1/22/26,Wrench,FNG,FALSE,FALSE,
1/20/26,Narc,Q,FALSE,FALSE,
1/20/26,Cobbler,,FALSE,FALSE,
1/20/26,Fertile,,FALSE,FALSE,
1/19/26,Wemby,Q,FALSE,FALSE,
1/19/26,Narc,,FALSE,FALSE,
1/19/26,Cobbler,,FALSE,FALSE,
1/16/26,Thermostat,QDD,FALSE,FALSE,
1/16/26,Tropic Thunder,,TRUE,FALSE,
1/16/26,Narc,,FALSE,FALSE,
1/16/26,Mario,,FALSE,FALSE,
1/16/26,Dial-Up,,FALSE,FALSE,
1/16/26,Dealer,DD,FALSE,FALSE,
1/16/26,LinkedIn,DD,FALSE,FALSE,
1/16/26,Cobbler,DD,FALSE,FALSE,
1/16/26,O-Ring,,FALSE,FALSE,
1/16/26,Wazowski,,FALSE,FALSE,
1/16/26,Jake,,FALSE,FALSE,
1/16/26,Kookaburra,,FALSE,FALSE,
1/15/26,Elmer,QDD,FALSE,FALSE,
1/15/26,Siesta,DD,FALSE,FALSE,
1/15/26,LinkedIn,DD,FALSE,FALSE,
1/15/26,Werner,,FALSE,FALSE,
1/15/26,Narc,,FALSE,FALSE,
1/15/26,D20,,FALSE,FALSE,
1/15/26,Squatter,DD,FALSE,FALSE,
1/15/26,Tropic Thunder,DD,FALSE,FALSE,
1/15/26,Juice,,FALSE,FALSE,
1/15/26,Xena,DD,FALSE,FALSE,
1/15/26,Muy Caliente,,FALSE,FALSE,
1/13/26,Cobbler,,FALSE,FALSE,
1/13/26,Gridlock,,FALSE,FALSE,
1/13/26,Elmer,,FALSE,FALSE,
1/13/26,O-Ring,,FALSE,FALSE,
1/13/26,Momma's Boy,,FALSE,FALSE,
1/13/26,Narc,,FALSE,FALSE,
1/13/26,Squatter,,FALSE,FALSE,
1/13/26,Tropic Thunder,Q,FALSE,FALSE,
1/13/26,Juice,,FALSE,FALSE,
1/13/26,Hector,,FALSE,FALSE,
1/12/26,Wemby,QDD,FALSE,FALSE,
1/12/26,LinkedIn,DD,FALSE,FALSE,
1/12/26,Cobbler,DD,FALSE,FALSE,
1/12/26,Squatter,DD,FALSE,FALSE,
1/12/26,Kookaburra,DD,FALSE,FALSE,
1/12/26,Tropic Thunder,DD,FALSE,FALSE,
1/12/26,Muy Caliente,,FALSE,FALSE,
1/12/26,Narc,,FALSE,FALSE,
1/9/26,Cobbler,,FALSE,FALSE,
1/9/26,Muy Caliente,,FALSE,FALSE,
1/9/26,O-Ring,,FALSE,FALSE,
1/9/26,Shaggy,Q,FALSE,FALSE,
1/9/26,Squatter,,FALSE,FALSE,
1/9/26,Tropic Thunder,,FALSE,FALSE,
1/9/26,Wemby,,FALSE,FALSE,
1/8/26,Beaver,,FALSE,FALSE,
1/8/26,Cobbler,DD,FALSE,FALSE,
1/8/26,O-Ring,,FALSE,FALSE,
1/8/26,Fertile,,FALSE,FALSE,
1/8/26,Tropic Thunder,,FALSE,FALSE,
1/8/26,Johnny 5,,FALSE,FALSE,
1/8/26,Narc,Q,FALSE,FALSE,
1/8/26,Juice,,FALSE,FALSE,
1/8/26,Muy Caliente,,FALSE,FALSE,
1/8/26,Squatter,,FALSE,FALSE,
1/8/26,Rawhide,DD,FALSE,FALSE,
1/6/26,LinkedIn,Q,FALSE,FALSE,
1/6/26,Muy Caliente,,FALSE,FALSE,
1/6/26,O-Ring,DD,FALSE,FALSE,
1/6/26,Thermostat,DD,FALSE,FALSE,
1/6/26,Dealer,DD,FALSE,FALSE,
1/6/26,Juice,,FALSE,FALSE,
1/6/26,Narc,,FALSE,FALSE,
1/6/26,Cobbler,DD,FALSE,FALSE,
1/6/26,Xena,DD,FALSE,FALSE,
1/6/26,Squatter,DD,FALSE,FALSE,
1/6/26,Tropic Thunder,DD,FALSE,FALSE,
1/6/26,Dial-Up,DD,FALSE,FALSE,
1/6/26,Sistine,,FALSE,FALSE,
1/5/26,D20,,FALSE,FALSE,
1/5/26,Gridlock,DD,FALSE,FALSE,
1/5/26,LinkedIn,DD,FALSE,FALSE,
1/5/26,Muy Caliente,,FALSE,FALSE,
1/5/26,Narc,,FALSE,FALSE,
1/5/26,Sistine,Q,FALSE,FALSE,
1/5/26,Squatter,DD,FALSE,FALSE,
1/5/26,Tropic Thunder,VQDD,FALSE,FALSE,
1/5/26,Wemby,DD,FALSE,FALSE,
1/5/26,Xena,DD,FALSE,FALSE,
1/5/26,Safari,FNG,FALSE,FALSE,
1/2/26,Kookaburra,,FALSE,FALSE,
1/2/26,Mountie,Q,FALSE,FALSE,
1/2/26,Narc,,FALSE,FALSE,
1/2/26,Tropic Thunder,,FALSE,FALSE,
1/1/26,Cobbler,DD,FALSE,FALSE,
1/1/26,D20,,FALSE,FALSE,
1/1/26,Freedom,DD,FALSE,FALSE,
1/1/26,Jake,DD,FALSE,FALSE,
1/1/26,Judge Judy,DD,FALSE,FALSE,
1/1/26,Rawhide,DD,FALSE,FALSE,
1/1/26,Search Party,DD,FALSE,FALSE,
1/1/26,Tropic Thunder,,FALSE,FALSE,
1/1/26,LinkedIn,QDD,FALSE,FALSE,
12/30/25,Narc,,FALSE,FALSE,
12/30/25,O-Ring,,FALSE,FALSE,
12/30/25,Sistine,,FALSE,FALSE,
12/30/25,Squatter,Q,FALSE,FALSE,
12/30/25,Tropic Thunder,,FALSE,FALSE,
12/29/25,Cobbler,,FALSE,FALSE,
12/29/25,Dial-Up,,FALSE,FALSE,
12/29/25,Elmer,,FALSE,FALSE,
12/29/25,Narc,Q,FALSE,FALSE,
12/29/25,Squatter,,FALSE,FALSE,
12/29/25,Tropic Thunder,,FALSE,FALSE,
12/26/25,Kookaburra,,FALSE,FALSE,
12/26/25,Elmer,,FALSE,FALSE,
12/26/25,Xena,,FALSE,FALSE,
12/26/25,Fertile,Q,FALSE,FALSE,
12/25/25,Rawhide,DD,FALSE,FALSE,
12/25/25,LinkedIn,QDD,FALSE,FALSE,
12/23/25,Squatter,,FALSE,FALSE,
12/23/25,Tropic Thunder,,FALSE,FALSE,
12/23/25,Juice,,FALSE,FALSE,
12/23/25,Rawhide,Q,FALSE,FALSE,
